multilocation_day_id,minutes_id,name,address,lat_long,url,notes,gps_lat,gps_long,address1,city,county,state_province,postal_code,country
,52,"Harpeth Presbyterian Church, Brentwood, Tennessee","3077 Hillsboro Rd, Brentwood, TN 37027","36.043718, -86.866527",http://harpethpresbyterianchurch.org/,,,,,,,,,
,53,"Friendship Primitive Baptist Church, Haleyville, Alabama","County Road 23 (in between intersections with County Road 3217 and Violet Road), Haleyville, AL 35565","34.236831, -87.513971",,,,,,,,,,
,54,"Oak Grove Primitive Baptist Church, Alpharetta, Georgia","Birmingham Rd x Freemanville Rd, Alpharetta, GA 30004","34.165021, -84.318133",,,,,,,,,,
,55,"Mount Moriah Primitive Baptist Church, Near Sneads Cross Road, Alabama","320 Wilson Chapel Rd, Susan Moore, AL 35952","34.060341, -86.428309",,,,,,,,,,
,57,"Irish American Heritage Center, Chicago, Illinois","4626 N Knox Ave, Chicago, IL 60630","41.965317, -87.744410",http://irish-american.org/,,,,,,,,,
,58,"Emmaus Primitive Baptist Church, Carrollton, Georgia","2063 Oak Grove Church Rd, Carrollton, GA 30117","33.516981, -85.087110",,,,,,,,,,
,59,"Shady Grove (Keeton Cemetery), Nauvoo (Walker County), Alabama","Keeton Cemetery Rd x Keeton Ln (near Slicklizzard Rd), Nauvoo, AL 35578","33.953091, -87.463703",,,,,,,,,,
,60,"Old Madison Church Building - Burritt On The Mountain, Huntsville, Alabama","3101 Burritt Drive, Huntsville, AL 35801","34.716914, -86.538961",,,,,,,,,,
,61,"Old Flatwoods Primitive Baptist Church, Nauvoo (Walker County), Alabama","Old Flatwood Rd (off Co Rd 11), Nauvoo, AL 35578","33.953960, -87.496812",,,,,,,,,,
,62,"Montclair Friends Meetinghouse, Montclair, New Jersey","289 Park St, Montclair, NJ 07043","40.833339, -74.204178",,,,,,,,,,
,63,"Harmony Church, Lawrenceburg, Tennessee","Flatwoods Rd x Little Shoal Creek, Lawrenceburg, TN 38456","35.297252, -87.319302",,,,,,,,,,
,64,"Angels Gate Cultural Center, San Pedro, California","3601 S Gaffey St, San Pedro, CA 90731","33.713440, -118.293494",http://www.angelsgateart.org/,,,,,,,,,
,65,"Pisgah Presbyterian Church, Versailles (near Lexington), Kentucky","710 Pisgah Pike, Versailles, KY 40383","38.054219, -84.654533",http://pisgahchurch.org/,,,,,,,,,
,66,"Cane Creek Primitive Baptist Church, Cleburne County, Alabama","US-78, Heflin, AL 36264","33.687325, -85.526104",,,,,,,,,,
,67,"New Canaan Baptist Church, Walker County, Alabama","4140 Coon Creek Rd, Empire, AL 35063","33.834173, -87.002627",,,,,,,,,,
,68,"Federated Church, Arrow Rock, Missouri","505 High St, Arrow Rock, MO 65320","39.070548, -92.947759",,,,,,,,,,
,69,"Gum Pond Primitive Baptist Church, Eva, Alabama","Gum Pond Rd x Thompson Hollow, Eva, AL 35621","34.330782, -86.674134",,,,,,,,,,
,70,"Poplar Springs Baptist Church, Buchanan, Georgia","1151 Poplar Springs Church Rd, Buchanan, GA 30113","33.817598, -85.301690",https://www.facebook.com/poplarsprings37?rf=143316955691610,,,,,,,,,
,71,"Sullins School House, Hamilton, Alabama","Near Clifty Rd x Co Rd 49, Hamilton, AL 35570","34.177248, -87.864878",,,,,,,,,,
,72,"Sardis Baptist Church, Morris, Alabama","County Rd 144 (Sardis Rd), Gardendale, AL 35071","33.758640, -86.849019",,,,,,,,,,
,73,"Holly Springs Primitive Baptist Church, Bremen, Georgia","Holly Springs Rd (Near I-20 x US Hwy 27), Bremen, GA 30117","33.683408, -85.149538",http://pbchurches.org/2008/12/05/holly-springs-primitive-baptist-church-bremen-georgia/,,,,,,,,,
,74,"Liberty Church, Henagar, Alabama","1500 Liberty Rd, Henagar, AL 35978","34.651086, -85.757431",,,,,,,,,,
,75,"Pine Tucky Church, Winston County, Alabama","County Road 8 (Between County Road 3065 & Birch Road), Double Springs, AL 35553","34.077980, -87.377503",,,,,,,,,,
,76,"Hopewell Primitive Baptist Church, Oneonta, Alabama","3681 Airport Rd, Altoona, AL 35952","33.965745, -86.374175",,,,,,,,,,
,77,"Grace Church, Berryville, Virginia","Barnett St. x Church St., Berryville, VA 22611","39.152593, -77.980094",http://www.clarkeparish.org/default.asp,,,,,,,,,
,78,"Alpharetta Municipal Building, Alpharetta, Georgia","2 S Main St, Alpharetta, GA 30009","34.075357, -84.294228",,Building was torn down sometime after 2012,,,,,,,,
,79,"Mount Vernon Primitive Baptist Church, Cullman, Alabama","8658 AL-69, Cullman, AL 35058","34.243394, -86.658128",,,,,,,,,,
,80,"New Hope Primitive Baptist Church, Villa Rica, Georgia","200 Old Liberty Rd, Villa Rica, GA 30180","33.729666, -84.901310",,,,,,,,,,
,81,"Pleasant Hill Church (Johnson School House), Fayette County, Alabama","Pleasant Hill Loop, Eldridge, AL 35554","33.841299, -87.614917",,,,,,,,,,
,82,"Trinity United Methodist Church, Birmingham, Alabama","1400 Oxmoor Rd, Homewood, AL 35209","33.475167, -86.803668",http://www.trinitybirmingham.com/,,,,,,,,,
,83,"Addington Chapel, Bremen Community, Cullman County, Alabama","185 Co Rd 59, Cullman County, AL 35033","33.982804, -87.009103",,,,,,,,,,
,84,"Hopewell Primitive Baptist Church, Ephesus, Georgia","Hopewell Rd, Roopville, GA 30170","33.401821, -85.220497",,,,,,,,,,
,85,"King School House (Mt. Vernon Baptist Church), Natural Bridge, Alabama","County Rd 357 (off US Hwy 278), Haleyville, AL 35565","34.103610,-87.572780",http://roadsidethoughts.com/cem_map.htm?cem=Mount%20Vernon%20Missionary%20Baptist%20Church%20Cemetery&lat=34.103610&lon=-87.572780&lsr=gn&st=Alabama&frm=Natural%20Bridge&dir=ENE&dst=1&frm=Natural%20Bridge,,,,,,,,,
,86,"St. Michael Church, Cleburne County, Alabama","County Rd 14 x County Rd 40, Muscadine, AL 36269","33.815221, -85.406945",http://www.interment.net/data/us/al/cleburne/st_michael.htm,,,,,,,,,
,88,"Macedonia Primitive Baptist Church, Jackson County, Alabama","County Rd 43 x County Rd 38, Section, AL 35771","34.518593, -86.000019",,,,,,,,,,
,89,"Shady Grove Primitive Baptist Church, Winston County, Alabama","Alabama Hwy 195 x County Rd 18, Double Springs, AL 35553","34.188949, -87.425988",,,,,,,,,,
,90,"Ebenezer Primitive Baptist Church, Dunwoody, Georgia","7325 Roberts Dr, Dunwoody, GA 30350","33.970467, -84.338826",,,,,,,,,,
,91,"Mt. Lebanon Missionary Baptist Church, Fayette County, Alabama","Mt. Lebanon Rd, Fayette, AL 35555","33.773864, -87.888766",,,,,,,,,,
,92,"New Hope Church No. 1, Cullman County, Alabama","County Road 940 x County Road 998, Cullman, AL 35057","34.145166, -87.067362",,,,,,,,,,
,93,"Liberty Church, Henagar, Alabama","1500 Liberty Rd, Henagar, AL 35978","34.651086, -85.757431",,,,,,,,,,
,94,"Cross Roads Baptist Church, North of Tallapoosa, Georgia","Cross Roads Church Rd x Steadman Rd, Buchanan, GA 30113","33.863252, -85.343170",http://files.usgwarchives.net/ga/haralson/cemeteries/crossrds.txt,,,,,,,,,
,95,"New Flatwoods Church, Nauvoo (Walker County), Alabama","New Flatwood Rd (between County Rd 11 & Jagger Rd), Nauvoo, AL 35578","33.946955, -87.488410",,,,,,,,,,
,96,"Muscadine Methodist Church, Muscadine, Alabama","County Rd 49 x County Rd 267 (North Side of town), Muscadine, AL 36269","33.734901, -85.386113",https://www.facebook.com/pages/Muscadine-Methodist-Church/1171874286287312,,,,,,,,,
,97,"Jones Chapel Senior Center, Cullman County, Alabama","96 County Road 940, Cullman, AL 35057","34.207554, -87.053566",,,,,,,,,,
,98,"Cullman County Courthouse, Cullman, Alabama","500 Second Ave SW, Cullman, AL 35055","34.172430, -86.841761",,,,,,,,,,
,100,"Oak Grove Primitive Baptist Church, Sylacauga, Alabama","Lander's Loop, Sylacauga, AL 35150","33.183288, -86.293089",,,,,,,,,,
,101,"New Testament Baptist Church, Goshen, Indiana","22111 Co Rd 38, Goshen, IN 46526","41.551538, -85.888411",,,,,,,,,,
,102,"Mt. Oak Methodist Church, Arab, Alabama","Ruth Rd x Mt. Oak Rd, Arab, AL 35016","34.363246, -86.550633",,,,,,,,,,
,103,"Zion Rest Primitive Baptist Church, Jasper, Alabama","1304 Viking Dr, Jasper, AL 35501","33.835992, -87.259882",http://www.zionrestpbc.org/,,,,,,,,,
,104,"New Prospect Church, Cullman County, Alabama","County Rd 38 x County Rd 76, Cullman, AL 35057","33.984971, -86.926104",,,,,,,,,,
,105,"Gum Pond Primitive Baptist Church, Eva, Alabama","Gum Pond Rd x Thompson Hollow, Eva, AL 35621","34.330782, -86.674134",,,,,,,,,,
,106,"Mount Zion Methodist Church, Mt. Zion, Georgia","49 N Prospect Ave, Mt Zion, GA 30150","33.635849, -85.186858",,,,,,,,,,
,107,"Lacy’s Chapel, Henagar, Alabama","County Rd 432 x County Rd 163, Henagar, AL 35978","34.623797, -85.785405",,,,,,,,,,
,108,"Liberty Church (McCormick), Jefferson County, Alabama","7828 McCormick Rd, Dora, AL 35062","33.737918, -87.010312",,,,,,,,,,
,109,"Oak Grove Primitive Baptist Church, Alpharetta, Georgia","Birmingham Rd x Freemanville Rd, Alpharetta, GA 30004","34.165021, -84.318133",,,,,,,,,,
,110,"Wilson’s Chapel, Carrollton (Cross Plains Community), Georgia","272 Hutcheson Ferry Rd, Whitesburg, GA 30185","33.556988, -84.966111",https://www.facebook.com/WilsonsChapel/timeline?ref=page_internal,,,,,,,,,
,111,"Old Clear Creek Church, Marshall County, Alabama","Wisner Rd x Friendship Rd, Boaz, AL 35957","34.147144, -86.288142",,,,,,,,,,
,112,"Bevill State Junior College, Fayette, Alabama","2631 Temple Avenue N, Fayette, AL 35555","33.725314, -87.818594",,,,,,,,,,
,114,"Zion Primitive Baptist Church, Gordo, Alabama","County Rd 49 x Dyer Dr, Gordo, AL 35466","33.424273, -87.879035",,,,,,,,,,
,115,"Macedonia Baptist Church, Haleyville, Alabama","Macedonia Rd (County Rd 32), Haleyville, AL 35565","34.208548, -87.543024",,,,,,,,,,
,116,"Second Creek Primitive Baptist Church, Five Points, Tennessee","Church Rd x Second Creek Rd, Five Points, TN 38457","35.023935, -87.337733",,,,,,,,,,
,117,"Elmore Center United Methodist Church, near Gordo, Alabama","Elmore Center Church Rd (County Roads 9 and 21), Gordo, AL 35466","33.279394, -87.907044",,,,,,,,,,
,118,"Jones Chapel Senior Center, Cullman County, Alabama","96 County Road 940, Cullman, AL 35057","34.207554, -87.053566",,,,,,,,,,
,119,"Cane Creek Primitive Baptist Church, Cleburne County, Alabama","US-78, Heflin, AL 36264","33.687325, -85.526104",,,,,,,,,,
,120,"Concord Primitive Baptist Church, Winfield, Alabama","575 County Highway 173, Winfield, AL 35594","33.944158, -87.794022",,"Rented by Winfield City Family Church, from April 2012 until January 2016. https://www.facebook.com/WinfieldCityFamilyChurch/timeline?ref=page_internal",,,,,,,,
,121,"Shady Grove Primitive Baptist Church, Winston County, Alabama","Alabama Hwy 195 x County Rd 18, Double Springs, AL 35553","34.188949, -87.425988",,,,,,,,,,
,122,"Macedonia Primitive Baptist Church, Decatur, Mississippi","Macedonia Rd x Pine Bluff Rd, Decatur, MS 39327","32.404973, -89.193224",,,,,,,,,,
,123,"Pine Grove Church, Collinsville, Alabama","County Rd 469, Collinsville, AL 35961","34.218074, -85.857076",,,,,,,,,,
,124,"James Creek Primitive Baptist Church, Itawamba County, Mississippi","Lundy Rd x State Line Rd SE, Tremont, MS 38876","34.162542, -88.203603",,,,,,,,,,
,125,"Liberty Church (McCormick), Jefferson County, Alabama","7828 McCormick Rd, Dora, AL 35062","33.737918, -87.010312",,*Listed as being in Walker County,,,,,,,,
,126,"Pleasant Hill Church (Johnson School House), Fayette County, Alabama","Pleasant Hill Loop, Eldridge, AL 35554","33.841299, -87.614917",,,,,,,,,,
,127,"Little Vine Primitive Baptist Church, Near Bremen, Georgia","Shedd Rd x Little Vine Church Rd, Bremen, GA 30110","33.748876, -85.098174",,,,,,,,,,
,128,"Shoal Creek Church, North of Heflin, Alabama","County Rd 553 D, Fruithurst, AL 36262","33.775656, -85.564125",http://shoalcreekchurch.net/,,,,,,,,,
,129,"Liberty Church, Henagar, Alabama","1500 Liberty Rd, Henagar, AL 35978","34.651086, -85.757431",,,,,,,,,,
,130,"Mountain Home Church, Near Bear Creek, Alabama","Marion County 6 x AL-241, Bear Creek, AL 35543","34.259162, -87.730600",,,,,,,,,,
,131,"Ft. Collins City Park Recreation Center, Ft. Collins, Colorado","1599 City Park Dr, Fort Collins, CO 80521","40.583648, -105.105207",http://www.fcgov.com/recreation/clubtico.php,Now know as Club Tico?,,,,,,,,
1,132,"Merriam Lexington Presbyterian Church, St. Paul, Minnesota","1658 Lincoln Ave, St Paul, MN 55105","44.938797, -93.170107",http://www.macalester-plymouth.org/welcome.htm,Now Macalester Plymouth United Church,,,,,,,,
2,132,"Town Hall - The Landing (formerly Murphy's Landing), Shakopee, Minnesota","2187 County Rd 101, Shakopee, MN 55379","44.803116, -93.492643",https://www.threeriversparks.org/parks/the-landing.aspx,,,,,,,,,
,133,"Mount Moriah Primitive Baptist Church, Four Mile Community, Alabama","Four Mile Dr x Four Mile Church Rd, Anniston, AL 36206","33.760935, -85.774964",,,,,,,,,,
,134,"Shady Grove (Keeton Cemetery), Nauvoo (Walker County), Alabama","Keeton Cemetery Rd x Keeton Ln (near Slicklizzard Rd), Nauvoo, AL 35578","33.953091, -87.463703",,,,,,,,,,
,135,"Liberty Hill Baptist Church, Boaz, Alabama","Liberty Hill Rd, Boaz, AL 35956","34.177454, -86.031519",,,,,,,,,,
,136,"Mississippi College, Clinton, Mississippi","200 S Capitol St, Clinton, MS 39058","32.334504, -90.330444",,,,,,,,,,
1,137,"DeMars Center - Peterson Park, Mattoon, Illinois","500 Broadway Ave, Mattoon, IL 61938","39.482932, -88.359167",http://mattoon.illinois.gov/government/publicworks/parkdept,,,,,,,,,
2,137,"Coles County Courthouse, Charleston, Illinois","651 Jackson Ave, Charleston, IL 61920","39.494932, -88.175146",,,,,,,,,,
,138,"Shady Grove Primitive Baptist Church, Winston County, Alabama","Alabama Hwy 195 x County Rd 18, Double Springs, AL 35553","34.188949, -87.425988",,,,,,,,,,
,139,"Gum Pond Primitive Baptist Church, Eva, Alabama","Gum Pond Rd x Thompson Hollow, Eva, AL 35621","34.330782, -86.674134",,,,,,,,,,
,140,"First Congregational Church, Burlington, Vermont","38 S Winooski Ave, Burlington, VT 05401","44.479388, -73.210345",,,,,,,,,,
,140,"St. Paul’s Episcopal Cathedral, Burlington, Vermont","2 Cherry St, Burlington, VT 05401","44.479948, -73.218473",,,,,,,,,,
,141,"Hopewell Primitive Baptist Church, Oneonta, Alabama","3681 Airport Rd, Altoona, AL 35952","33.965745, -86.374175",,,,,,,,,,
,142,"Old Sardis Church, Lynn, Alabama","County Rd 17 (Yankee Trace), Lynn, AL 35565","34.085593, -87.538948",,,,,,,,,,
,144,"Chestnut Grove Baptist Church, Ider, Alabama","County Rd 651 x County Rd 743, Henagar, AL 35978","34.657826, -85.652685",http://www.chestnutgrovebc.com/directions-to-church.html,,,,,,,,,
,145,"Muscadine Methodist Church, Muscadine, Alabama","County Rd 49 x County Rd 267 (North Side of town), Muscadine, AL 36269","33.734901, -85.386113",https://www.facebook.com/pages/Muscadine-Methodist-Church/1171874286287312,,,,,,,,,
,147,"Mars Hill Primitive Baptist Church, Cleburne County, Alabama","County Rd 65 x County Rd 234, Fruithurst, AL 36262","33.842339, -85.406071",http://roadsidethoughts.com/cem_map.htm?cem=Mars%20Hill%20Cemetery&lat=33.839548&lon=-85.402177&lsr=gn&st=Alabama&frm=Heflin&dir=NE&dst=16&frm=Heflin,,,,,,,,,
,148,"Old County Line Church, Corner, Alabama","Old County Line Church Rd, Warrior, AL 35180","33.807181, -86.927940",,,,,,,,,,
,149,"Christian Chapel Church, Arrow Rock, Missouri","Main Street, Arrow Rock, MO 65320","39.069180, -92.948991",,,,,,,,,,
,150,"Old Rice Church - Arab City Park, Arab, Alabama","224 City Park Dr SE, Arab, AL 35016","34.317929, -86.479786",,,,,,,,,,
,151,"Rockford Chapel (Friends Meeting House) - Anthioch College, Yellow Springs, Ohio","515 President St, Yellow Springs, OH 45387","39.801500, -83.887432",https://www.quakercloud.org/cloud/yellow-springs-friends-meeting,,,,,,,,,
,152,"New Hope Primitive Baptist Church, Walker County, Alabama","Pineywoods/Sipsey Rd, Walker County, AL 35504","33.890958, -87.123045",,,,,,,,,,
,153,"Jordan Chapel Methodist Church, Newell (Randolph County), Alabama","County Rd 408 x County Rd 47, Woodland, AL 36280","33.457472, -85.497258",,,,,,,,,,
,154,"Mount Moriah Primitive Baptist Church, Near Sneads Cross Road, Alabama","320 Wilson Chapel Rd, Susan Moore, AL 35952","34.060341, -86.428309",,,,,,,,,,
,155,"Bethel Primitive Baptist Church, Baton Rouge, Louisiana","8576 Hooper Rd, Baton Rouge, LA 70811","30.530260, -91.099126",,,,,,,,,,
,157,"Bethel Primitive Baptist Church, Heard County, Georgia","Armstrong Mill Rd x US Hwy 27, Centralhatchee, GA 30170","33.391963, -85.115294",,,,,,,,,,
,158,"Ebenezer Mennonite Church Schoolhouse, Bluffton, Ohio","8905 Columbus Grove-Bluffton Rd, Bluffton, OH 45817","40.892030, -83.937665",,,,,,,,,,
,159,"Holly Springs Primitive Baptist Church, Bremen, Georgia","Holly Springs Rd (Near I-20 x US Hwy 27), Bremen, GA 30117","33.683408, -85.149538",http://pbchurches.org/2008/12/05/holly-springs-primitive-baptist-church-bremen-georgia/,,,,,,,,,
,160,"Pilgrim’s Rest Primitive Baptist Church, Attalla, Alabama","US-11 x Purin Rd, Attalla, AL 35954","33.994469, -86.135361",,,,,,,,,,
,161,"Mt. Ebron Church, Double Springs, Alabama","County Rd 25 x County Rd 4, Double Springs, AL 35553","34.117590, -87.444589",,,,,,,,,,
,162,"Cedar Creek Primitive Baptist Church, Crisp County, Georgia","Lake Dr, Cordele, GA 31015","31.873387, -83.904114",,,,,,,,,,
,163,"Immanuel Baptist Church, Nashville, Tennessee","222 Belle Meade Blvd, Nashville, TN 37205","36.111741, -86.854000",http://www.ibcnashville.org/,,,,,,,,,
,164,"St. Francis House Episcopal Student Center, Madison, Wisconsin","1011 University Ave, Madison, WI 53715","43.072830, -89.402748",http://www.stfrancisuw.org/,,,,,,,,,
,165,"Oak Hill Baptist Church, Oxford, Alabama","County Line Rd x Delisa Dr, Oxford, AL 36203","33.585194, -85.815858",,,,,,,,,,
,166,"Oak Grove Primitive Baptist Church, Alpharetta, Georgia","Birmingham Rd x Freemanville Rd, Alpharetta, GA 30004","34.165021, -84.318133",,,,,,,,,,
,167,"Cross Roads Baptist Church, North of Tallapoosa, Georgia","Cross Roads Church Rd x Steadman Rd, Buchanan, GA 30113","33.863252, -85.343170",http://files.usgwarchives.net/ga/haralson/cemeteries/crossrds.txt,,,,,,,,,
,168,"Church of the Epiphany, Richmond, Virginia","11000 Smoketree Drive, North Chesterfield, VA 23236","37.485411, -77.601580",http://www.epiphanychurch.org/,,,,,,,,,
,169,"Harmony Primitive Baptist Church, Calhoun, Georgia","Harmony Church Rd, Calhoun, GA 30701","34.508210, -84.916419",http://pbchurches.org/2007/11/20/harmony-primitive-baptist-church-calhoun-georgia/,,,,,,,,,
,170,"Jones Chapel Senior Center, Cullman County, Alabama","96 County Road 940, Cullman, AL 35057","34.207554, -87.053566",,,,,,,,,,
,171,"Mt. Pleasant Home Primitive Baptist Church, North Birmingham, Alabama","3120 29th Ave N, Birmingham, AL 35207","33.552354, -86.804256",,,,,,,,,,
